sample,n,study,area.cov,tmb
s1133902851,2035,Mayo,16529770,123.11
s1133902855,243,Mayo,19391624,12.53
s1133902863,1758,Mayo,14814097,118.67
s1133902867,1380,Mayo,8371843,164.84
s1133902871,1224,Mayo,25470577,48.06
s1133902879,288,Mayo,39546532,7.28
s1133902891,864,Mayo,23050609,37.48
s1133902895,495,Mayo,35200595,14.06
s1133902917,692,Mayo,2086063,331.73
s1133902927,1202,Mayo,19453751,61.79
s1133902931,1155,Mayo,37274761,30.99
s1133902947,3785,Mayo,42666402,88.71
s1133902971,330,Mayo,4497841,73.37
s1133902975,790,Mayo,19627064,40.25
s1133902979,343,Mayo,12029289,28.51
s1133902983,1662,Mayo,10154672,163.67
s1133902991,521,Mayo,16773526,31.06
s1133903043,231,Mayo,15695900,14.72
s1133903047,324,Mayo,39520466,8.2
s1133903055,375,Mayo,46398692,8.08
s1133903067,1036,Mayo,19162795,54.06
s1133903112,289,Mayo,16726585,17.28
s1133903115,559,Mayo,11967007,46.71
s1133903123,1122,Mayo,6774025,165.63
s1133903131,423,Mayo,20024811,21.12
s1133903139,105,Mayo,17226509,6.1
s1133903143,156,Mayo,15902281,9.81
s1133903155,425,Mayo,11022936,38.56
s1133903227,273,Mayo,12363884,22.08
s1133903231,498,Mayo,14100923,35.32
s1133903239,236,Mayo,16622978,14.2
s1133903244,370,Mayo,22214584,16.66
s1133903271,580,Mayo,41744565,13.89
s1133903279,1718,Mayo,14478495,118.66
s1133903283,1738,Mayo,23105878,75.22
s1133903287,142,Mayo,631961,224.7
s1133903307,160,Mayo,8586017,18.63
s1133903311,337,Mayo,10643479,31.66
s1133903323,669,Mayo,34926117,19.15
s1133903331,519,Mayo,35184754,14.75
s1133903343,559,Mayo,34614896,16.15
s1133903348,271,Mayo,15086419,17.96
s1133903351,1931,Mayo,10795989,178.86
s1133903367,89,Mayo,11694031,7.61
s1133903371,668,Mayo,56547659,11.81
s1133903375,594,Mayo,13879776,42.8
s1133903379,281,Mayo,12722573,22.09
s1133903387,4993,Mayo,29188653,171.06
s1133903395,227,Mayo,8712413,26.05
s1133903428,332,Mayo,9944123,33.39
s1133903467,1133,Mayo,14182385,79.89
s1133903491,126,Mayo,21030943,5.99
s1133903511,1558,Mayo,13256192,117.53
s1133903519,295,Mayo,5849581,50.43
s1133903532,144,Mayo,1253720,114.86
s1133903535,267,Mayo,14336799,18.62
s1133903547,188,Mayo,17115784,10.98
s1133903555,884,Mayo,22630625,39.06
s1133903572,940,Mayo,17012635,55.25
s1133903576,315,Mayo,18560964,16.97
s1133903579,306,Mayo,37317565,8.2
s1133903587,726,Mayo,15933277,45.57
s1133903595,607,Mayo,14745729,41.16
s1133903603,753,Mayo,12922178,58.27
s1133903627,1071,Mayo,10092556,106.12
s1133903639,461,Mayo,14039629,32.84
s1133903663,759,Mayo,30639352,24.77
s1133903667,1277,Mayo,14811705,86.22
s1133903676,1425,Mayo,14857332,95.91
s1133903679,897,Mayo,33763420,26.57
s1133903683,134,Mayo,19703760,6.8
s1133903687,136,Mayo,21092954,6.45
s1133903703,248,Mayo,8615615,28.78
s1133903719,679,Mayo,35100532,19.34
s_1154A,110,Mayo,22103269,4.98
s_1296A,1343,Mayo,16921333,79.37
s_1308B,96,Mayo,20723236,4.63
s_1324B,605,Mayo,18743302,32.28
s_1328A,68,Mayo,13519677,5.03
s_1577A,118,Mayo,19366909,6.09
s_1599A,99,Mayo,20309621,4.87
s_1646B,204,Mayo,39983215,5.1
s_1861A,273,Mayo,50527003,5.4
s_2011A,231,Mayo,36519115,6.33
s_2269A,172,Mayo,42057248,4.09
s_2363A,185,Mayo,37214302,4.97
s_2415B,100,Mayo,18268321,5.47
s_2433A,186,Mayo,35151974,5.29
s_2455B,199,Mayo,37916030,5.25
s_2464A,245,Mayo,37847802,6.47
s_2465A,161,Mayo,24152195,6.67
s_2469A,220,Mayo,34556994,6.37
s_2483B,111,Mayo,18313865,6.06
s_2568B,86,Mayo,23177599,3.71
s_2666A,67,Mayo,20613891,3.25
s_2702C,196,Mayo,37848647,5.18
s_2706C,78,Mayo,12826264,6.08
s_2741A,115,Mayo,13085678,8.79
s_2749B,466,Mayo,41775069,11.15
s_2752A,98,Mayo,15237180,6.43
s_2757C,104,Mayo,21241159,4.9
s_GTEX-1269C-1826,95,Gtex,27922611,3.4
s_GTEX-12WSD-2726,383,Gtex,43570158,8.79
s_GTEX-12WSJ-1226,199,Gtex,39663266,5.02
s_GTEX-131YS-2226,211,Gtex,51515716,4.1
s_GTEX-133LE-1226,174,Gtex,37987126,4.58
s_GTEX-13D11-1126,211,Gtex,47680311,4.43
s_GTEX-13FTX-0926,210,Gtex,46198898,4.55
s_GTEX-13N11-0526,439,Gtex,47444546,9.25
s_GTEX-13O3O-2726,144,Gtex,27060336,5.32
s_GTEX-13OVI-0726,380,Gtex,31317412,12.13
s_GTEX-13OVJ-2426,236,Gtex,42124854,5.6
s_GTEX-13QBU-1526,87,Gtex,23749738,3.66
s_GTEX-13QIC-1526,241,Gtex,47484320,5.08
s_GTEX-13U4I-2126,189,Gtex,39047749,4.84
s_GTEX-13VXT-1526,416,Gtex,52208127,7.97
s_GTEX-13W3W-1526,86,Gtex,24076306,3.57
